A0A023I7E1	A0A023I7E1
A0A024SC78	A0A024SC78
A0A061ACU2	A0A061ACU2
A0A068B6Q6	A0A068B6Q6
A0A075BSX9	A0A075BSX9
A0A075BSX9	F8G0P2
A0A075TRK9	A0A075TRK9
A0A096P8D3	A0A096P8D3
A0A097PTA8	A0A097PTA8
A0A0A1HA03	A0A0A1HA03
A0A0A6ZFY4	A0A0A6ZFY4
A0A0A6ZFY4	P0DO67
A0A0A7GEY4	A0A0A7GEY4
A0A0A7HFE1	A0A0A7HFE1
A0A0A7HFE6	A0A0A7HFE6
A0A0A7HIF0	A0A0A7HIF0
A0A0B0QJR1	A0A0B0QJR1
A0A0B5AC95	A0A0B5AC95
A0A0B5L781	A0A0B5L781
A0A0B5LB55	A0A0B5LB55
A0A0B7P9G0	A0A0B7P9G0
A0A0C5XL88	A0A0C5XL88
A0A0D1DWQ2	A0A0D1DWQ2
A0A0D1DWZ5	A0A0D1DWZ5
A0A0D1E015	A0A0D1E015
A0A0D4WV12	A0A0D4WV12
A0A0D4WV12	P0CE82
A0A0D4WV12	P0CE80
A0A0D4WV12	Q8I914
A0A0F5HNH9	A0A0F5HNH9
A0A0F6B5X3	A0A0F6B5X3
A0A0F6B5X4	A0A0F6B5X4
A0A0F6B8D9	A0A0F6B8D9
A0A0F7KYQ8	A0A0F7KYQ8
A0A0F7KYQ8	Q5U7L7
A0A0F7KYQ8	Q840P9
A0A0G2KTI4	A0A0G2KTI4
A0A0H2UNG0	A0A0H2UNG0
A0A0H2URG7	A0A0H2URG7
A0A0H2URG7	Q9AET5
A0A0H2URJ6	A0A0H2URJ6
A0A0H2URK1	A0A0H2URK1
A0A0H2US87	A0A0H2US87
A0A0H2V871	A0A0H2V871
A0A0H2VG78	A0A0H2VG78
A0A0H2WWV6	A0A0H2WWV6
A0A0H2X5R2	A0A0H2X5R2
A0A0H2X5R2	Q99KQ4
A0A0H2ZFK2	A0A0H2ZFK2
A0A0H2ZQB9	A0A0H2ZQB9
A0A0H3AIG7	A0A0H3AIG7
A0A0H3AIG7	Q9KS45
A0A0H3GGY3	A0A0H3GGY3
A0A0H3JN63	A0A0H3JN63
A0A0H3JN63	A0A0H2WZ38
A0A0H3JN63	Q8DNZ8
A0A0H3JNB0	A0A0H3JNB0
A0A0H3JPC6	A0A0H3JPC6
A0A0H3JRU9	A0A0H3JRU9
A0A0H3JUU7	A0A0H3JUU7
A0A0H3KB22	A0A0H3KB22
A0A0H3LM39	A0A0H3LM39
A0A0H3MDW1	A0A0H3MDW1
A0A0H3PJK4	A0A0H3PJK4
A0A0J5ZXG5	A0A0J5ZXG5
A0A0J9X285	A0A0J9X285
A0A0K2JL82	A0A0K2JL82
A0A0K8P8E7	A0A0K8P8E7
A0A0L8FVQ9	A0A0L8FVQ9
A0A0M0ELU2	A0A0M0ELU2
A0A0M3Q1Q3	A0A0M3Q1Q3
A0A0M3Q1Q3	A6XH05
A0A0M3Q1Q3	O81192
A0A0M3Q1Q3	A7IZZ1
A0A0N7CSQ4	A0A0N7CSQ4
A0A0P0ZD79	A0A0P0ZD79
A0A0R4IKJ1	A0A0R4IKJ1
A0A0R4IMY7	A0A0R4IMY7
A0A0S2GKZ1	A0A0S2GKZ1
A0A0X1KHF9	A0A0X1KHF9
A0A140H546	A0A140H546
A0A140LI88	A0A140LI88
A0A144A134	A0A144A134
A0A144A2H0	A0A144A2H0
A0A172J1V3	A0A172J1V3
A0A172U6X0	A0A172U6X0
A0A172U6X0	A0A1L7NQ96
A0A179UL48	A0A179UL48
A0A179UL48	A0A080WMA9
A0A179UL48	Q57658
A0A179UL48	Q5ALM0
A0A179UL48	Q4WWR8
A0A179UL48	Q5KPK7
A0A1C3NEV1	A0A1C3NEV1
A0A1C3NEV1	A0A0R6L508
A0A1C7D1B7	A0A1C7D1B7
A0A1C7D1B7	D5VRB9
A0A1C7D1B7	Q9CZX0
A0A1C7D1B7	Q02908
A0A1D1VU85	A0A1D1VU85
A0A1D5PRR9	A0A1D5PRR9
A0A1D8PJX3	A0A1D8PJX3
A0A1D8PJX3	P08067
A0A1D8PQ86	A0A1D8PQ86
